ClientDependency: ['Cassette.Views', 'BundleTransformer.Core', 'CSLA-ASP.NET', 'EmbeddedResourceVirtualPathProvider', 'ASP.NET_MVVM_Excalibur']
DynamicData.EFCodeFirstProvider: ['DynamicData.Extensions', 'NotAClue.DynamicData.Extensions', 'NotAClue.DynamicData.CustomFilters', 'DynamicDataTemplatesCS', 'NotAClue.DynamicData.CustomFieldTemplates']
NBuilder: ['UnityAutoRegistration', 'Microsoft.SqlServer.Types', 'ThisMember', 'Fielder.Fody', 'ModuleInit.Fody']
libphonenumber-csharp: ['Google.ProtocolBuffers', 'Google.ProtocolBuffersLite', 'Moment.js', 'loggly-csharp', 'ZXing.Net']
MassTransit: ['MassTransit.RabbitMQ', 'RabbitMQ.Client', 'RabbitMQ.ServiceModel', 'MassTransit.Log4Net', 'MassTransit.Autofac']
ServiceStack.OrmLite.SqlServer: ['ServiceStack.OrmLite.PostgreSQL', 'ServiceStack.OrmLite.MySql', 'Microsoft.SqlServer.Types', 'ServiceStack.OrmLite.Firebird', 'ServiceStack.OrmLite.Sqlite64']
PoliteCaptcha: ['CSLA-ASP.NET', 'ASP.NET_MVVM_Excalibur', 'DataTables-ASP.NET-MVC', 'CSLA-ASP.NET-MVC', 'MiniProfiler']
WebBackgrounder: ['ServiceStack', 'Stripe.net', 'FileHelpers', 'NewRelicWindowsAzure', 'CSLA-ASP.NET']
PropertyChanged.Fody: ['Virtuosity.Fody', 'PropertyChanging.Fody', 'Publicize.Fody', 'ModuleInit.Fody', 'Fielder.Fody']
WebBackgrounder.EntityFramework: ['EntityFramework.SqlServerCompact', 'FluentScheduler', 'Isg.EntityFramework.Interceptors.SoftDelete', 'RIAServices.EntityFramework', 'EntityFrameworkProfiler']
